source_url,source_title,target_name,target_label,relationship_type
https://www.who.int/news/item/07-12-2023-who-releases-guidelines-on-chronic-low-back-pain,WHO releases guidelines on chronic low back pain,"These interventions include: education programs that support knowledge and self-care strategies; exercise programs; some physical therapies, such as spinal manipulative therapy and massage; psychological therapies, such as cognitive behavioural therapy; and medicines, such as non-steroidal anti-inflammatory medicines.",Exercise,DESCRIBES_EXERCISE
https://www.who.int/news/item/07-12-2023-who-releases-guidelines-on-chronic-low-back-pain,WHO releases guidelines on chronic low back pain,"Successful implementation of the guidance will rely on public health messaging around the appropriate care for LBP, building workforce capacity to address chronic low back pain care, adapting care standards and strengthening primary health care, including referral systems. “Addressing chronic low back pain requires an integrated, person-centred approach.",Exercise,DESCRIBES_EXERCISE
https://www.who.int/news/item/07-12-2023-who-releases-guidelines-on-chronic-low-back-pain,WHO releases guidelines on chronic low back pain,"In 2020, approximately 1 in 13 people, equating to 619 million people, experienced LBP, a 60% increase from 1990.",Benefit,HAS_BENEFIT
https://www.who.int/news/item/07-12-2023-who-releases-guidelines-on-chronic-low-back-pain,WHO releases guidelines on chronic low back pain,"These interventions should not be routinely offered, as WHO evaluation of the available evidence indicate that potential harms likely outweigh the benefits.",Benefit,HAS_BENEFIT
https://www.who.int/news/item/07-12-2023-who-releases-guidelines-on-chronic-low-back-pain,WHO releases guidelines on chronic low back pain,"WHO advises against interventions such as: lumbar braces, belts and/or supports; some physical therapies, such as traction (i.e. pulling on part of the body); and some medicines, such as opioid pain killers, which can be associated with overdose and dependence.",Benefit,HAS_BENEFIT
https://www.who.int/news/item/07-12-2023-who-releases-guidelines-on-chronic-low-back-pain,WHO releases guidelines on chronic low back pain,"Successful implementation of the guidance will rely on public health messaging around the appropriate care for LBP, building workforce capacity to address chronic low back pain care, adapting care standards and strengthening primary health care, including referral systems. “Addressing chronic low back pain requires an integrated, person-centred approach.",Benefit,HAS_BENEFIT
https://www.who.int/news/item/07-12-2023-who-releases-guidelines-on-chronic-low-back-pain,WHO releases guidelines on chronic low back pain,"The guidelines outline key principles of care for adults with chronic primary LBP, recommending that it should be holistic, person-centred, equitable, non-stigmatizing, non-discriminatory, integrated and coordinated.",Safety,HAS_SAFETY_INFO
https://www.who.int/news/item/07-12-2023-who-releases-guidelines-on-chronic-low-back-pain,WHO releases guidelines on chronic low back pain,"Care should be tailored to address the mix of factors (physical, psychological, and social) that may influence their chronic primary LBP experience.",Safety,HAS_SAFETY_INFO
https://www.who.int/news/item/07-12-2023-who-releases-guidelines-on-chronic-low-back-pain,WHO releases guidelines on chronic low back pain,"A suite of interventions may be needed to holistically address a person’s chronic primary LBP, instead of single interventions used in isolation.",Safety,HAS_SAFETY_INFO
https://www.who.int/news/item/07-12-2023-who-releases-guidelines-on-chronic-low-back-pain,WHO releases guidelines on chronic low back pain,"Successful implementation of the guidance will rely on public health messaging around the appropriate care for LBP, building workforce capacity to address chronic low back pain care, adapting care standards and strengthening primary health care, including referral systems. “Addressing chronic low back pain requires an integrated, person-centred approach.",Safety,HAS_SAFETY_INFO
https://www.who.int/news/item/07-12-2023-who-releases-guidelines-on-chronic-low-back-pain,WHO releases guidelines on chronic low back pain,Related WHO guideline on non-surgical management of chronic primary low back pain in adults WHO’s Integrated care for older people (ICOPE) UN Decade of Healthy Ageing (2021.,Safety,HAS_SAFETY_INFO
https://www.who.int/news/item/07-12-2023-who-releases-guidelines-on-chronic-low-back-pain,WHO releases guidelines on chronic low back pain,2030) Integrated care for older people (ICOPE) Fact sheets Low back pain 19 June 2023 Ageing and health 1 October 2025 Universal health coverage (UHC) 5 December 2025 Musculoskeletal health 14 July 2022 Events WHO Guideline for non-surgical management of chronic primary low back pain in adults in primary and community care settings 7 December 2023 12:15 .,Safety,HAS_SAFETY_INFO
https://www.who.int/news/item/07-12-2023-who-releases-guidelines-on-chronic-low-back-pain,WHO releases guidelines on chronic low back pain,WHO releases guidelines on chronic low back pain Skip to main content Global Regions WHO Regional websites Africa Americas South-East Asia Europe Eastern Mediterranean Western Pacific When autocomplete results are available use up and down arrows to review and enter to select.,Condition,ADDRESSES_CONDITION
https://www.who.int/news/item/07-12-2023-who-releases-guidelines-on-chronic-low-back-pain,WHO releases guidelines on chronic low back pain,"The World Health Organization (WHO) is releasing its first-ever guidelines on managing chronic low back pain (LBP) in primary and community care settings, listing interventions for health workers to use and also to not use during routine care.",Condition,ADDRESSES_CONDITION
